EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E04612,,福井県観光開発株式会社,,,
E01913,64440,サンデンホールディングス株式会社,機械,機械 ,6
E00491,25940,キーコーヒー株式会社,食料品,食品 ,7
E25303,22290,カルビー株式会社,食料品,食品 ,4
E05551,37960,株式会社いい生活,情報・通信業,情報通信・サービスその他 ,
E02310,77030,川澄化学工業株式会社,精密機器,電機・精密 ,
E00354,21070,東洋精糖株式会社,食料品,食品 ,7
E03266,75060,株式会社ハウス　オブ　ローゼ,小売業,小売 ,7
E02190,72600,富士機工株式会社,輸送用機器,自動車・輸送機 ,7
E01044,46360,株式会社Ｔ＆Ｋ　ＴＯＫＡ,化学,素材・化学 ,7
E23800,16060,日本海洋掘削株式会社,鉱業,エネルギー資源 ,7
E01972,69440,株式会社アイレックス,情報・通信業,情報通信・サービスその他 ,
E01757,65900,芝浦メカトロニクス株式会社,電気機器,電機・精密 ,7
E00886,44090,東邦化学工業株式会社,化学,素材・化学 ,
E01969,69450,富士通フロンテック株式会社,電気機器,電機・精密 ,
E00200,19830,東芝プラントシステム株式会社,建設業,建設・資材 ,6
E01321,57570,株式会社ＣＫサンエツ,非鉄金属,鉄鋼・非鉄 ,
E01234,54820,愛知製鋼株式会社,鉄鋼,鉄鋼・非鉄 ,6
E02905,76280,株式会社オーハシテクニカ,卸売業,商社・卸売 ,7
E05445,37870,株式会社テクノマセマティカル,情報・通信業,情報通信・サービスその他 ,
E02126,70110,三菱重工業株式会社,機械,機械 ,2
E04844,97070,株式会社ユニマット　リタイアメント・コミュニティ,サービス業,情報通信・サービスその他 ,
E31632,50210,コスモエネルギーホールディングス株式会社,石油・石炭製品,エネルギー資源 ,6
E01343,58150,沖電線株式会社,非鉄金属,鉄鋼・非鉄 ,7
E02850,75040,株式会社高速,卸売業,商社・卸売 ,7
E03543,83450,株式会社岩手銀行,銀行業,銀行 ,7
E31905,71830,あんしん保証株式会社,その他金融業,金融（除く銀行） ,
E02234,72640,株式会社ムロコーポレーション,輸送用機器,自動車・輸送機 ,
E02782,99910,ジェコス株式会社,卸売業,商社・卸売 ,7
E04861,96820,株式会社ＤＴＳ,情報・通信業,情報通信・サービスその他 ,6
E25169,62490,株式会社ゲームカード・ジョイコホールディングス,機械,機械 ,
E30993,39100,株式会社エムケイシステム,情報・通信業,情報通信・サービスその他 ,
E04381,,株式会社秋田放送,,,
E01840,68160,アルパイン株式会社,電気機器,電機・精密 ,6
E03603,83970,株式会社沖縄銀行,銀行業,銀行 ,6
E00273,17750,富士古河Ｅ＆Ｃ株式会社,建設業,建設・資材 ,
E04425,94330,ＫＤＤＩ株式会社,情報・通信業,情報通信・サービスその他 ,1
E30438,42460,ダイキョーニシカワ株式会社,化学,素材・化学 ,6
E00774,40610,デンカ株式会社,化学,素材・化学 ,4
E00431,26070,不二製油グループ本社株式会社,食料品,食品 ,4
E00601,81140,株式会社　デサント,繊維製品,素材・化学 ,6
E01301,57270,東邦チタニウム株式会社,非鉄金属,鉄鋼・非鉄 ,6
E04340,92320,株式会社パスコ,空運業,運輸・物流 ,7
E03645,85370,株式会社大光銀行,銀行業,銀行 ,7
E04602,96710,株式会社よみうりランド,サービス業,情報通信・サービスその他 ,7
E00309,17280,ミサワホーム中国株式会社,建設業,建設・資材 ,
E04889,96400,株式会社セゾン情報システムズ,情報・通信業,情報通信・サービスその他 ,
E01054,49710,メック株式会社,化学,素材・化学 ,6
E01332,58010,古河電気工業株式会社,非鉄金属,鉄鋼・非鉄 ,4
E05232,43180,株式会社クイック,サービス業,情報通信・サービスその他 ,7
E01797,67940,フォスター電機株式会社,電気機器,電機・精密 ,6
E01731,62620,ペガサスミシン製造株式会社,機械,機械 ,7
E03929,88400,株式会社  大京,不動産業,不動産 ,6
E04855,96910,株式会社両毛システムズ,情報・通信業,情報通信・サービスその他 ,
E00923,45070,塩野義製薬株式会社,医薬品,医薬品 ,2
E02221,72960,株式会社エフ・シー・シー,輸送用機器,自動車・輸送機 ,6
E01792,67090,明星電気株式会社,電気機器,電機・精密 ,
E00913,46260,太陽ホールディングス株式会社,化学,素材・化学 ,6
E02394,79660,リンテック株式会社,その他製品,情報通信・サービスその他 ,4
E05446,84230,アクリーティブ株式会社,その他金融業,金融（除く銀行） ,7
E05093,47750,総合メディカル株式会社,小売業,小売 ,7
E22461,36340,株式会社ソケッツ,情報・通信業,情報通信・サービスその他 ,
E03945,88500,スターツコーポレーション株式会社,不動産業,不動産 ,6
E04841,97090,ＮＣＳ＆Ａ株式会社,情報・通信業,情報通信・サービスその他 ,
E01393,59980,株式会社アドバネクス,金属製品,建設・資材 ,7
E25263,36480,ＡＧＳ株式会社,情報・通信業,情報通信・サービスその他 ,7
E05697,21750,株式会社エス・エム・エス,サービス業,情報通信・サービスその他 ,6
E04657,,遠州開発株式会社,,,
E02294,77690,リズム時計工業株式会社,精密機器,電機・精密 ,7
E03760,86130,丸三証券株式会社,証券、商品先物取引業,金融（除く銀行） ,6
E05350,23710,株式会社カカクコム,サービス業,情報通信・サービスその他 ,4
E04715,,岡崎クラシック株式会社,,,
E02690,82980,株式会社ファミリー,小売業,小売 ,
E27303,60730,株式会社アサンテ,サービス業,情報通信・サービスその他 ,7
E01685,62870,サトーホールディングス株式会社,機械,機械 ,6
E05011,47050,株式会社クリップコーポレーション,サービス業,情報通信・サービスその他 ,
E03521,30990,株式会社三越伊勢丹ホールディングス,小売業,小売 ,4
